Mayweather,Floyd,1,105,105,0,Boxing
James,LeBron,3,72.3,19.3,53,Basketball
Bryant,Kobe,5,61.5,30.5,31,Basketball
Bale,Gareth,14,36.4,25.4,11,Soccer
Alonso,Fernando,21,31,29,2,Racing
Aguero,Sergio,44,23.3,18.3,5,Soccer
Albert,Branden,91,18.4,18.4,0.035,Football
Anthony,Carmelo,24,29.4,21.4,8,Basketball
Alvarez,Canelo,66,21,19.5,1.5,Boxing
Atkins,Geno,53,22.4,22.3,0.05,Football
Bolt,Usain,45,23.2,0.2,23,Track
Bosh,Chris,57,21.8,19.3,2.5,Basketball
Federer,Roger,7,56.2,4.2,52,Tennis
Falcao,Radamel,15,36.4,32.4,3,Soccer
Djokovic,Novak,17,33.1,12.1,21,Tennis
Dhoni,Mahendra Singh,22,30,4,26,Cricket
Cabrera,Miguel,32,24.6,22.6,2,Baseball
Byrd,Jairus,94,18,17.9,0.1,Football
Cano,Robinson,60,21.5,18,3.5,Baseball
Cain,Matt,75,20.4,20,0.4,Baseball
Crawford,Carl,74,20.5,20.2,0.3,Baseball
Durant,Kevin,20,31.9,17.9,14,Basketball
Drew ,Brees,67,21,10,11,Football
Dunlap,Carlos,84,18.8,18.7,0.05,Football
Earnhardt Jr.,Dale,28,25.9,14.9,11,Racing
Ibrahimovic,Zlatan,12,40.4,36.4,4,Soccer
Hamilton,Lewis,19,32,29,33,Racing
Greinke,Zack,33,24.5,24.4,50,Baseball
Fielder,Prince,39,23.9,23.5,0.4,Baseball
Gasol,Pau,58,21.8,19.3,2.5,Basketball
Fitzgerald,Larry,89,18.5,17,1.5,Football
Gonzalez,Adrian,61,21.5,21.1,0.4,Baseball
Gerrard,Steven,86,18.7,13.2,5.5,Soccer
Gay,Rudy,88,18.6,17.9,0.7,Basketball
Gordon,Jeff,87,18.7,13.7,5,Racing
Griffin,Blake,47,23,16.5,6.5,Basketball
Haden,Joe,62,21.4,21.2,0.15,Football
Hamels,Cole,70,20.7,20.5,0.2,Baseball
Howard,Dwight,29,25.5,20.5,5,Basketball
Hernandez,Felix,77,20.3,20.1,0.2,Baseball
Holliday,Matt,99,17.4,17.2,0.2,Baseball
Howard,Ryan,54,22.4,21.7,0.7,Baseball
Klitschko,Wladimir,25,28,24,4,Boxing
Jeter,Derek,35,24.3,15.3,9,Baseball
Johnson,Jimmie,42,23.5,17,6.5,Racing
Kemp,Matt,51,22.6,21.8,0.8,Baseball
Johnson,Joe,52,22.5,21.5,1,Basketball
Manning,Peyton,26,27.1,15.1,12,Football
Lee,Cliff,30,25.3,25.1,0.2,Baseball
Manning,Eli,68,21,13.5,7.5,Football
Lincecum,Tim,73,20.6,20.3,0.25,Baseball
Mauer,Joe,31,24.8,23,1.8,Baseball
Marshall,Brandon,97,17.5,16.8,0.7,Football
Ronaldo,Cristiano,2,80,52,28,Soccer
Messi,Lionel,4,64.7,41.7,23,Soccer
McIlroy,Rory,36,24.3,4.3,20,Golf
Mickelson,Phil,8,53.2,5.2,48,Golf
Nadal,Rafael,9,44.5,14.5,30,Tennis
Na,Li,41,23.6,5.6,18,Tennis
Pacquiao,Manny,11,41.8,41,0.8,Boxing
Neymar, ,16,33.6,17.6,16,Soccer
Nowitzki,Dirk,46,23.2,22.7,0.5,Basketball
Ortiz,David,80,19.8,14.8,5,Baseball
Ozil,Mesut,90,18.5,12.5,6,Soccer
Paul,Chris,37,24.2,18.7,5.5,Basketball
Revis,Darrelle,40,23.8,23,0.8,Football
Peppers,Julius,69,20.8,20.4,0.4,Football
Peters,Jason,71,20.7,20.7,0.05,Football
Pujols,Albert,78,20.3,18.3,2,Baseball
Randolph,Zach,85,18.8,18.3,0.5,Basketball
Rodriguez,Alex,48,22.9,22.6,0.33,Baseball
Rodgers,Aaron,55,22,14.5,7.5,Football
Ribéry,Franck,92,18.3,16.8,1.5,Soccer
Woods,Tiger,6,61.2,6.2,55,Golf
Ryan,Matt,10,43.8,42,1.8,Football
Rose,Derrick,13,36.6,17.6,19,Basketball
Rooney,Wayne,43,23.4,18.4,5,Soccer
Stafford,Matthew,18,33,31.5,1.5,Football
Sharapova,Maria,34,24.4,2.4,22,Tennis
Sabathia,CC,38,24.2,23,1.2,Baseball
Santana,Johan,49,22.9,22.5,0.4,Baseball
Scott,Adam,95,17.7,8.7,9,Golf
Soriano,Alfonso,93,18.1,18,0.05,Baseball
Wade,Dwyane,23,29.9,18.9,11,Basketball
Stoudemire,Amar'e,27,26.7,21.7,5,Basketball
Stenson,Henrik,64,21.2,18,3.2,Golf
Teixeira,Mark,50,22.7,22.5,0.2,Baseball
Suggs,Terrell,96,17.6,17.4,0.2,Football
Suarez,Luis,100,17.3,13.3,4,Soccer
Touré,Yaya,59,21.7,19.2,2.5,Soccer
Torres,Fernando,63,21.3,17.8,3.5,Soccer
Verlander,Justin,72,20.7,20.2,0.5,Baseball
Vettel,Sebastian,83,19,18,1,Racing
Williams,Serena,56,22,11,11,Tennis
Wells,Vernon,65,21.1,21,0.1,Baseball
Williams,Deron,79,20,18.5,1.5,Basketball
Westbrook,Russell,82,19.2,14.7,4.5,Basketball
Werth,Jayson,98,17.5,17.3,0.2,Baseball
Zito,Barry,76,20.4,20.3,0.1,Baseball
van Persie,Robin,81,19.5,16.5,3,Soccer
Zzzzzzz,j,1,999,9,9,Joe
